id,name,age,position,Current Club,nationality,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
5,A_Cresswell,31,Defender,West Ham United,England,1589,888,701,20,11,9,0,0,0,1,1,0,0,0,3,2,1,22,12,10,1,0,0.06,0.06,0,0,0,0,1.25,72,79,1589,1589,0.06,290,191,80,20
7,A_Lennon,33,Midfielder,Burnley,England,1217,487,730,16,7,9,1,1,0,1,1,0,0,0,4,2,2,20,8,12,1,0,0.15,0.07,0.07,0.18,0,1217,1.48,61,76,1217,1217,0.07,196,187,-1,10
3,A_Mooy,30,Midfielder,Huddersfield Town,Australia,2327,1190,1137,29,15,14,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,144,233,-1,3
11,A_Ramsey,30,Midfielder,Arsenal,Wales,1327,689,638,28,14,14,4,2,2,6,5,1,0,0,7,6,1,12,2,10,0,0,0.68,0.41,0.27,0.26,0.28,332,0.81,111,47,0,221,0,69,8,-1,5
14,A_Rowe,20,Forward,Huddersfield Town,England,69,14,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.3,69,35,0,0,0,-1,-1,-1,31
20,A_Wan-Bissaka,23,Midfielder,Crystal Palace,England,3135,1605,1530,35,18,17,0,0,0,3,1,2,0,0,12,7,5,41,17,24,5,1,0.09,0.09,0,0,0,0,1.18,76,90,523,1045,0.17,312,160,-1,22
15,A_Sabiri,24,Midfielder,Huddersfield Town,Morocco,49,0,49,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5.51,16,25,0,0,0,-1,-1,-1,22
12,A_DoucourÃ©,28,Midfielder,Watford,France,3062,1566,1496,35,18,17,5,3,2,6,2,4,0,0,5,3,2,54,27,27,7,0,0.32,0.18,0.15,0.17,0.12,612,1.59,57,87,437,510,0.21,124,80,-1,5
9,A_Kamara,25,Forward,Fulham,France,687,468,219,13,8,5,3,1,2,0,0,0,1,1,2,1,1,16,9,7,2,0,0.39,0,0.39,0.19,0.82,229,2.1,43,53,344,0,0.26,38,412,-1,4
21,A_PeÃ±aranda_Maestre,23,Forward,Watford,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
22,A_David_Lallana,32,Midfielder,Liverpool,England,465,189,276,13,6,7,0,0,0,0,0,0,0,0,6,1,5,2,1,1,1,0,0,0,0,0,0,0,0.39,233,36,465,0,0.19,379,344,-1,18
23,A_Masina,27,Defender,Watford,Italy,1003,463,540,14,7,7,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0,0,0,0,1.7,53,72,201,1003,0.45,397,155,144,20
24,A_Smith,29,Defender,AFC Bournemouth,England,2073,1051,1022,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,227,228,85,10
25,A_Diakhaby,24,Forward,Huddersfield Town,France,551,345,206,12,8,4,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0,0,0,0,0,0,2.61,34,46,551,0,0.16,332,359,-1,26
26,A_TraorÃ©_Diarra,24,Midfielder,Wolverhampton Wanderers,Spain,890,315,575,29,12,17,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0,0.16,890,1.11,81,31,890,890,0.1,160,152,-1,13
27,A_Lookman,23,Forward,Everton,England,601,334,267,21,11,10,0,0,0,2,2,0,0,0,8,5,3,7,2,5,0,0,0.3,0.3,0,0,0,0,1.05,86,29,0,301,0,292,20,-1,17
28,A_Mariappa,34,Defender,Watford,Jamaica,1921,841,1080,26,12,14,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0,0,0,0,0,0,1.36,66,74,640,0,0.14,396,414,94,21
29,A¡n_San_Miguel_del_Castillo,34,Goalkeeper,West Ham United,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
30,A_Sebastian_Perruchet_Silva,31,Midfielder,Leicester City,Portugal,88,8,80,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.02,88,44,0,0,0,-1,-1,-1,15
31,A_Maitland-Niles,23,Midfielder,Arsenal,England,985,462,523,16,7,9,1,0,1,1,0,1,0,0,4,3,1,16,5,11,3,1,0.18,0.09,0.09,0,0.17,985,1.46,62,62,328,985,0.27,174,167,-1,15
32,A_Moreno,28,Defender,Liverpool,Spain,155,90,65,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.16,78,78,0,0,0,-1,-1,-1,17
33,A_MitroviÄ‡,26,Forward,Fulham,Serbia,3282,1616,1666,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,62,176,-1,1
34,A_Iwobi,24,Forward,Arsenal,Nigeria,1972,742,1230,35,18,17,3,1,2,6,3,3,0,0,8,7,1,31,8,23,0,0,0.41,0.27,0.14,0.12,0.15,657,1.41,64,56,0,329,0,128,31,-1,8
35,A_McCarthy,31,Goalkeeper,Southampton,England,2250,1170,1080,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0,0,0,0,0,0,1.48,61,90,2250,0,0.04,372,365,114,21
36,A_Oxlade-Chamberlain,27,Midfielder,Liverpool,England,19,19,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,21
37,A_Pritchard,27,Midfielder,Huddersfield Town,England,2092,992,1100,30,14,16,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,171,373,-1,5
38,A_Smithies,30,Goalkeeper,Cardiff City,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
39,A_SÃ¸rloth,25,Forward,Crystal Palace,Norway,173,121,52,12,8,4,0,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0.52,173,14,0,0,0,-1,-1,-1,17
40,A_Lacazette,29,Forward,Arsenal,France,2503,1403,1100,35,19,16,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,21,25,-1,2
41,A_Nascimento_Costa_Silva,23,Forward,West Ham United,Portugal,17,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,16
42,A_Sanchez,32,Forward,Manchester United,Chile,877,387,490,20,10,10,1,1,0,3,0,3,0,0,6,2,4,8,4,4,3,0,0.41,0.31,0.1,0.23,0,877,0.82,110,44,292,292,0.31,166,17,-1,10
43,A_Jones,23,Defender,Southampton,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
44,A_Mawson,26,Defender,Fulham,England,1131,547,584,15,8,7,0,0,0,0,0,0,0,0,3,2,1,25,10,15,2,0,0,0,0,0,0,0,1.99,45,75,566,0,0.16,307,255,161,11
45,A_Whiteman,22,Goalkeeper,Tottenham Hotspur,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
46,A_Koiki,20,Defender,Burnley,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
47,A_Jahanbakhsh,27,Forward,Brighton & Hove Albion,Iran,1022,494,528,19,9,10,0,0,0,0,0,0,0,0,4,3,1,16,8,8,2,0,0,0,0,0,0,0,1.41,64,54,511,0,0.18,403,270,-1,16
55,A_Becker,28,Goalkeeper,Liverpool,Brazil,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,21,12,9,19,8,11,1,0,0,0,0,0,0,0,0.5,180,90,3420,0,0.03,417,387,3,16
56,A_Morata,28,Forward,Chelsea,Spain,943,530,413,16,8,8,5,3,2,0,0,0,0,0,9,4,5,11,6,5,3,0,0.48,0,0.48,0.51,0.44,189,1.05,86,59,314,0,0.29,20,338,-1,4
57,A_Herrera,31,Midfielder,Manchester United,Spain,1404,617,787,22,10,12,2,0,2,3,3,0,0,0,6,1,5,17,9,8,4,0,0.32,0.19,0.13,0,0.23,702,1.09,83,64,351,468,0.26,134,68,-1,7
58,A©_Filipe_Tavares_Gomes,27,Midfielder,Everton,Portugal,1986,972,1014,27,13,14,1,1,0,1,1,0,0,0,10,6,4,27,13,14,7,0,0.09,0.05,0.05,0.09,0,1986,1.22,74,74,284,1986,0.32,220,213,-1,11
59,A_Gray,29,Forward,Watford,England,1358,809,549,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
60,A©_SchÃ¼rrle,30,Midfielder,Fulham,Germany,1650,829,821,24,12,12,6,3,3,0,0,0,0,0,1,0,1,42,20,22,2,0,0.33,0,0.33,0.33,0.33,275,2.29,39,69,825,0,0.11,54,417,-1,2
61,A©-Frank_Zambo_Anguissa,25,Midfielder,Fulham,Cameroon,1518,587,931,22,10,12,0,0,0,0,0,0,0,0,3,2,1,30,10,20,3,1,0,0,0,0,0,0,1.78,51,69,506,0,0.18,288,285,-1,19
62,A_Christensen,24,Defender,Chelsea,Denmark,615,360,255,8,4,4,0,0,0,0,0,0,0,0,3,3,0,7,2,5,1,0,0,0,0,0,0,0,1.02,88,77,615,0,0.15,338,346,35,21
63,A_Pereira,25,Midfielder,Manchester United,Brazil,595,521,74,15,10,5,1,1,0,1,1,0,0,0,1,1,0,10,7,3,5,0,0.3,0.15,0.15,0.17,0,595,1.51,60,40,119,595,0.76,117,93,-1,16
64,A_Robertson,26,Defender,Liverpool,Scotland,3219,1599,1620,36,18,18,0,0,0,11,9,2,0,0,21,12,9,17,7,10,4,0,0.31,0.31,0,0,0,0,0.48,189,89,805,293,0.11,418,19,2,20
65,A_Surman,34,Midfielder,AFC Bournemouth,England,1438,526,912,18,7,11,0,0,0,0,0,0,0,0,5,3,2,35,7,28,2,0,0,0,0,0,0,0,2.19,41,80,719,0,0.13,359,379,-1,27
66,A_Yarmolenko,31,Forward,West Ham United,Ukraine,459,269,190,9,5,4,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,361,-1,7
67,A_Townsend,29,Midfielder,Crystal Palace,England,3018,1571,1447,38,19,19,6,2,4,4,2,2,0,0,12,7,5,44,20,24,1,0,0.3,0.12,0.18,0.11,0.25,503,1.31,69,79,3018,755,0.03,102,127,-1,3
68,A_Carroll,31,Forward,West Ham United,England,454,180,274,12,6,6,0,0,0,0,0,0,0,0,2,1,1,6,2,4,2,0,0,0,0,0,0,0,1.19,76,38,227,0,0.4,270,326,-1,17
69,A_Gomes,20,Midfielder,Manchester United,England,25,25,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.6,25,13,0,0,0,-1,-1,-1,19
70,A_Ogbonna,32,Defender,West Ham United,Italy,1870,956,914,24,12,12,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,226,207,124,13
71,A_Gunn,24,Goalkeeper,Southampton,England,1080,540,540,12,6,6,0,0,0,0,0,0,0,0,3,1,2,17,9,8,0,0,0,0,0,0,0,0,1.42,64,90,0,0,0,376,339,104,25
72,A_Driscoll-Glennon,21,Defender,Burnley,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
73,A_Knockaert,29,Midfielder,Brighton & Hove Albion,France,1832,982,850,30,16,14,2,1,1,6,5,1,0,0,3,3,0,36,17,19,5,1,0.39,0.29,0.1,0.09,0.11,916,1.77,51,61,305,305,0.29,159,27,-1,6
74,A_Martial,25,Forward,Manchester United,France,1623,743,880,27,11,16,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,13,141,-1,4
75,A_Barreca,25,Defender,Newcastle United,Italy,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,16
76,A_RÃ¼diger,27,Defender,Chelsea,Germany,2874,1350,1524,33,15,18,1,1,0,0,0,0,0,0,12,7,5,34,10,24,7,0,0.03,0,0.03,0.07,0,2874,1.06,85,87,411,0,0.22,259,374,38,13
77,A_Valencia,35,Defender,Manchester United,Ecuador,466,196,270,6,3,3,0,0,0,0,0,0,0,0,2,0,2,5,4,1,2,0,0,0,0,0,0,0,0.97,93,78,233,0,0.39,300,256,29,23
78,A_Muric,22,Goalkeeper,Manchester City,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
79,A_Einar_Gunnarsson,31,Midfielder,Cardiff City,Iceland,2274,1240,1034,28,14,14,1,1,0,1,1,0,0,0,8,4,4,37,20,17,5,0,0.08,0.04,0.04,0.07,0,2274,1.46,61,81,455,2274,0.2,232,234,-1,9
80,A_Masuaku,27,Defender,West Ham United,France,1756,822,934,23,11,12,0,0,0,1,1,0,0,0,6,3,3,26,11,15,2,0,0.05,0.05,0,0,0,0,1.33,68,76,878,1756,0.1,368,203,89,25
81,A_Boruc,40,Goalkeeper,AFC Bournemouth,Poland,1080,540,540,12,6,6,0,0,0,0,0,0,0,0,4,2,2,17,4,13,2,0,0,0,0,0,0,0,1.42,64,90,540,0,0.17,361,394,100,20
82,A_Barnes,31,Forward,Burnley,England,2400,1307,1093,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,27,172,-1,1
83,A_Westwood,30,Midfielder,Burnley,England,2822,1530,1292,34,18,16,2,0,2,7,2,5,0,0,7,5,2,44,22,22,5,0,0.29,0.22,0.06,0,0.14,1411,1.4,64,83,564,403,0.16,212,55,-1,8
84,A_Young,35,Midfielder,Manchester United,England,2568,1207,1361,30,14,16,2,1,1,2,2,0,0,0,4,2,2,41,16,25,10,1,0.14,0.07,0.07,0.07,0.07,1284,1.44,63,86,257,1284,0.35,195,181,-1,9
85,A_BegoviÄ‡,33,Goalkeeper,AFC Bournemouth,Bosnia and Herzegovina,2160,1080,1080,24,12,12,0,0,0,0,0,0,0,0,5,3,2,44,19,25,0,0,0,0,0,0,0,0,1.83,49,90,0,0,0,358,273,154,19
86,A_Laporte,26,Defender,Manchester City,France,3057,1526,1531,35,17,18,3,0,3,3,3,0,0,0,18,8,10,21,11,10,3,0,0.18,0.09,0.09,0,0.18,1019,0.62,146,87,1019,1019,0.09,176,158,14,9
87,A_Perez,27,Forward,Newcastle United,Spain,2929,1526,1403,37,19,18,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,44,197,-1,1
88,B_Sako,32,Midfielder,Crystal Palace,Mali,25,8,17,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,23
89,B_Sako,0,Midfielder,Arsenal,England,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,17
90,B_Chilwell,24,Defender,Leicester City,England,3240,1620,1620,36,18,18,0,0,0,4,1,3,0,0,10,6,4,39,15,24,4,0,0.11,0.11,0,0,0,0,1.08,83,90,810,810,0.11,344,139,44,16
91,B_Davies,27,Defender,Tottenham Hotspur,Wales,1839,916,923,27,13,14,0,0,0,0,0,0,0,0,10,6,4,24,10,14,2,0,0,0,0,0,0,0,1.17,77,68,920,0,0.1,353,274,60,26
92,B_Foster,37,Goalkeeper,Watford,England,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0,0,0,0,0,0,1.5,60,90,3420,0,0.03,365,353,116,18
93,B_Gibson,27,Defender,Burnley,England,63,63,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1.43,0,1.43,1.43,0,63,4.29,21,63,63,0,1.43,-1,-1,-1,9
94,B_Hamer,33,Goalkeeper,Huddersfield Town,England,553,283,270,7,4,3,0,0,0,0,0,0,0,0,1,1,0,20,9,11,0,0,0,0,0,0,0,0,3.25,28,79,0,0,0,327,348,175,14
95,B_Mee,31,Defender,Burnley,England,3420,1710,1710,38,19,19,0,0,0,2,1,1,0,0,8,5,3,57,27,30,9,0,0.05,0.05,0,0,0,0,1.5,60,90,380,1710,0.24,380,211,118,21
96,B_White,23,Defender,Brighton & Hove Albion,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
97,B_Wilmot,21,Defender,Watford,England,26,0,26,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,6.92,13,13,0,0,0,-1,-1,-1,17
98,B_Johnson,20,Forward,West Ham United,England,63,0,63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,26
99,B_Mendy,26,Defender,Manchester City,France,900,450,450,10,5,5,0,0,0,5,3,2,0,0,4,1,3,6,4,2,1,0,0.5,0.5,0,0,0,0,0.6,150,90,900,180,0.1,311,3,12,18
100,B_Kayal,32,Midfielder,Brighton & Hove Albion,Israel,934,494,440,18,9,9,1,0,1,1,1,0,0,0,5,3,2,15,8,7,4,0,0.19,0.1,0.1,0,0.2,934,1.45,62,52,234,934,0.39,163,146,-1,8
101,B_AnÃ­cio_Caldeira_Duarte,28,Midfielder,Everton,Brazil,2128,960,1168,34,16,18,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,243,117,-1,12
102,B,25,Defender,Brighton & Hove Albion,Brazil,1750,990,760,22,11,11,0,0,0,1,1,0,0,0,4,2,2,28,17,11,4,0,0.05,0.05,0,0,0,0,1.44,63,80,438,1750,0.21,400,200,107,20
103,B_Silva,26,Midfielder,Manchester City,Portugal,2853,1470,1383,36,18,18,7,2,5,7,4,3,0,0,18,8,10,22,11,11,3,0,0.44,0.22,0.22,0.12,0.33,408,0.69,130,79,951,408,0.09,85,58,-1,5
104,B_Leno,28,Goalkeeper,Arsenal,Germany,2835,1395,1440,32,16,16,0,0,0,0,0,0,0,0,7,6,1,39,12,27,0,0,0,0,0,0,0,0,1.24,73,89,0,0,0,390,413,76,23
105,B_Reid,27,Midfielder,Cardiff City,England,1422,725,697,27,11,16,5,4,1,2,1,1,1,0,6,2,4,27,19,8,0,0,0.44,0.13,0.32,0.5,0.13,284,1.71,53,53,0,711,0,55,115,-1,2
