Id	Convergent_Subs	OnlyInGpId	OnlyOutGpId	OneInOutId	%Convergent_Subs	%OnlyInGpId	%OnlyOutGpId	%OneInOutId
ENST00000000412	0	0	0	0	0	0	0	0
ENST00000000442	0	0	0	0	0	0	0	0
ENST00000001008	0	0	0	0	0	0	0	0
ENST00000001146	0	0	0	0	0	0	0	0
ENST00000002125	0	0	0	0	0	0	0	0
ENST00000002165	0	1	0	0	0	0.21505376344086	0	0
ENST00000002596	1	0	0	0	0.328947368421053	0	0	0
ENST00000002829	0	0	0	0	0	0	0	0
ENST00000003084	0	0	0	0	0	0	0	0
ENST00000003302	0	0	0	0	0	0	0	0
ENST00000004531	1	0	0	0	0.14903129657228	0	0	0
ENST00000004982	0	0	0	0	0	0	0	0
ENST00000005178	0	0	0	0	0	0	0	0
ENST00000005226	1	0	0	0	0.114155251141553	0	0	0
ENST00000005260	0	0	0	1	0	0	0	0.209643605870021
ENST00000005284	0	0	0	0	0	0	0	0
ENST00000005286	0	0	0	0	0	0	0	0
ENST00000005340	0	0	0	0	0	0	0	0
ENST00000005386	0	0	0	0	0	0	0	0
ENST00000005558	0	0	0	0	0	0	0	0
ENST00000006275	0	0	0	0	0	0	0	0
ENST00000006658	1	0	0	0	0.13262599469496	0	0	0
ENST00000006777	0	0	0	0	0	0	0	0
ENST00000007390	0	0	0	0	0	0	0	0
ENST00000007414	0	0	0	0	0	0	0	0
ENST00000007516	0	0	0	0	0	0	0	0
ENST00000007722	0	0	0	0	0	0	0	0
ENST00000007969	0	0	0	0	0	0	0	0
ENST00000008527	0	0	0	0	0	0	0	0
ENST00000008938	0	0	0	0	0	0	0	0
ENST00000009041	0	0	0	0	0	0	0	0
ENST00000010299	0	0	0	0	0	0	0	0
ENST00000010404	0	0	0	0	0	0	0	0
ENST00000011473	0	0	0	0	0	0	0	0
ENST00000011653	0	0	0	1	0	0	0	0.218340611353712
ENST00000011684	0	0	0	1	0	0	0	0.126582278481013
ENST00000012049	0	0	0	0	0	0	0	0
ENST00000012134	0	0	0	0	0	0	0	0
ENST00000013125	0	0	0	0	0	0	0	0
ENST00000013222	0	1	0	0	0	0.380228136882129	0	0
ENST00000013807	0	0	0	0	0	0	0	0
ENST00000016171	0	0	0	0	0	0	0	0
ENST00000017003	0	0	0	0	0	0	0	0
ENST00000019103	0	0	0	0	0	0	0	0
ENST00000019317	0	0	0	0	0	0	0	0
ENST00000020926	1	0	0	0	0.234741784037559	0	0	0
ENST00000020945	0	0	0	0	0	0	0	0
ENST00000025008	0	0	0	0	0	0	0	0
ENST00000025301	0	0	0	1	0	0	0	0.054466230936819
ENST00000025399	0	0	0	0	0	0	0	0
ENST00000026218	2	0	0	0	0.271370420624152	0	0	0
ENST00000027335	3	0	0	3	0.360576923076923	0	0	0.360576923076923
ENST00000033079	0	0	0	0	0	0	0	0
ENST00000035307	0	0	0	0	0	0	0	0
ENST00000037243	0	0	0	0	0	0	0	0
ENST00000037502	0	0	0	0	0	0	0	0
ENST00000039989	0	0	0	0	0	0	0	0
ENST00000040584	0	0	0	0	0	0	0	0
