Id	HS_gene_id	Gene	Description	HS	GG	NL	PT	HS_aa	PT_aa	GG_aa	NL_aa	overlap	AbsId	Subs	HS_Subs	PT_Subs	GG_Subs	NL_Subs	#1#_Subs	%AbsId	%Subs	%HS_Subs	%PT_Subs	%GG_Subs	%NL_Subs	%#1#_Subs	%NoId
ENST00000000412	ENSG00000003056	M6PR	mannose-6-phosphate receptor%2C cation dependent 	ENST00000000412	ENSGGOT00000059917	ENSNLET00000034947	ENSPTRT00000008593	277	277	277	267	265	262	3	0	0	1	2	0	98.8679245283019	1.13207547169812	0	0	0.377358490566038	0.754716981132076	0	0
ENST00000000442	ENSG00000173153	ESRRA	estrogen related receptor alpha 	ENST00000000442	ENSGGOT00000001342	ENSNLET00000006350	ENSPTRT00000007149	423	422	422	422	422	416	6	0	0	5	1	0	98.5781990521327	1.4218009478673	0	0	1.18483412322275	0.23696682464455	0	0
ENST00000001008	ENSG00000004478	FKBP4	FKBP prolyl isomerase 4 	ENST00000001008	ENSGGOT00000010515	ENSNLET00000003652	ENSPTRT00000008389	459	459	453	424	424	422	2	1	0	0	1	0	99.5283018867925	0.471698113207552	0.235849056603774	0	0	0.235849056603774	0	0
ENST00000001146	ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 	ENST00000001146	ENSGGOT00000004600	ENSNLET00000013223	ENSPTRT00000109607	512	512	512	512	512	509	3	2	0	0	1	0	99.4140625	0.5859375	0.390625	0	0	0.1953125	0	0
ENST00000002125	ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 	ENST00000002125	ENSGGOT00000011414	ENSNLET00000039964	ENSPTRT00000022034	441	441	441	441	438	428	10	1	0	1	5	3	97.716894977169	2.28310502283105	0.228310502283105	0	0.228310502283105	1.14155251141553	0.684931506849315	0
ENST00000002165	ENSG00000001036	FUCA2	alpha-L-fucosidase 2 	ENST00000002165	ENSGGOT00000011305	ENSNLET00000019262	ENSPTRT00000034475	467	465	468	465	465	458	7	0	0	0	6	0	98.494623655914	1.50537634408602	0	0	0	1.29032258064516	0	0
ENST00000002596	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 	ENST00000002596	ENSGGOT00000015678	ENSNLET00000020683	ENSPTRT00000029720	307	307	307	307	304	288	16	0	0	1	14	0	94.7368421052632	5.26315789473684	0	0	0.328947368421053	4.60526315789474	0	0
ENST00000002829	ENSG00000001617	SEMA3F	semaphorin 3F 	ENST00000002829	ENSGGOT00000052676	ENSNLET00000008877	ENSPTRT00000106552	785	785	785	788	777	765	12	3	0	4	4	1	98.4555984555985	1.54440154440154	0.386100386100386	0	0.514800514800515	0.514800514800515	0.128700128700129	0
ENST00000003084	ENSG00000001626	CFTR	CF transmembrane conductance regulator 	ENST00000003084	ENSGGOT00000028885	ENSNLET00000014939	ENSPTRT00000036339	1480	1480	1480	1480	1480	1460	20	3	2	3	12	0	98.6486486486487	1.35135135135135	0.202702702702703	0.135135135135135	0.202702702702703	0.810810810810811	0	0
ENST00000003302	ENSG00000048028	USP28	ubiquitin specific peptidase 28 	ENST00000003302	ENSGGOT00000005151	ENSNLET00000009344	ENSPTRT00000109408	1077	1192	1077	1068	1056	1045	11	1	1	2	7	0	98.9583333333333	1.04166666666667	0.09469696969697	0.09469696969697	0.189393939393939	0.662878787878788	0	0
ENST00000004531	ENSG00000003989	SLC7A2	solute carrier family 7 member 2 	ENST00000004531	ENSGGOT00000014502	ENSNLET00000046857	ENSPTRT00000101428	698	696	696	696	671	640	31	10	5	2	13	0	95.3800298062593	4.61997019374068	1.4903129657228	0.745156482861401	0.29806259314456	1.93740685543964	0	0
ENST00000004982	ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 	ENST00000004982	ENSGGOT00000030984	ENSNLET00000044450	ENSPTRT00000020118	160	160	160	160	160	159	1	0	0	0	1	0	99.375	0.625	0	0	0	0.625	0	0
ENST00000005178	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 	ENST00000005178	ENSGGOT00000002480	ENSNLET00000020229	ENSPTRT00000035942	411	411	411	411	411	406	5	1	0	1	3	0	98.7834549878346	1.21654501216545	0.24330900243309	0	0.24330900243309	0.72992700729927	0	0
ENST00000005226	ENSG00000006611	USH1C	USH1 protein network component harmonin 	ENST00000005226	ENSGGOT00000029476	ENSNLET00000022619	ENSPTRT00000006433	899	899	899	877	876	854	22	6	3	5	7	0	97.4885844748858	2.51141552511416	0.684931506849315	0.342465753424657	0.570776255707763	0.799086757990868	0	0
ENST00000005260	ENSG00000006453	BAIAP2L1	BAI1 associated protein 2 like 1 	ENST00000005260	ENSGGOT00000053452	ENSNLET00000044554	ENSPTRT00000046340	511	511	502	513	477	465	12	0	2	0	8	1	97.4842767295598	2.51572327044025	0	0.419287211740042	0	1.67714884696017	0.209643605870021	0
ENST00000005284	ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 	ENST00000005284	ENSGGOT00000002794	ENSNLET00000015190	ENSPTRT00000014550	315	315	315	315	315	315	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000005286	ENSG00000006118	TMEM132A	transmembrane protein 132A 	ENST00000005286	ENSGGOT00000008704	ENSNLET00000017437	ENSPTRT00000006947	1024	1024	1022	1026	994	966	28	7	3	1	16	1	97.1830985915493	2.8169014084507	0.704225352112676	0.301810865191147	0.100603621730382	1.60965794768612	0.100603621730382	0
ENST00000005340	ENSG00000004975	DVL2	dishevelled segment polarity protein 2 	ENST00000005340	ENSGGOT00000033070	ENSNLET00000010284	ENSPTRT00000015976	736	736	736	713	712	707	5	0	0	1	4	0	99.2977528089888	0.702247191011239	0	0	0.140449438202247	0.561797752808989	0	0
ENST00000005386	ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 	ENST00000005386	ENSGGOT00000026642	ENSNLET00000022858	ENSPTRT00000008998	665	665	648	665	624	609	15	3	2	3	7	0	97.5961538461538	2.40384615384616	0.480769230769231	0.320512820512821	0.480769230769231	1.12179487179487	0	0
ENST00000005558	ENSG00000006652	IFRD1	interferon related developmental regulator 1 	ENST00000005558	ENSGGOT00000030418	ENSNLET00000014451	ENSPTRT00000047096	451	452	451	451	442	436	6	2	0	1	3	0	98.6425339366516	1.35746606334841	0.452488687782805	0	0.226244343891403	0.678733031674208	0	0
ENST00000006275	ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A 	ENST00000006275	ENSGGOT00000008723	ENSNLET00000057243	ENSPTRT00000085516	173	173	175	173	173	167	6	0	0	0	6	0	96.5317919075144	3.46820809248555	0	0	0	3.46820809248555	0	0
ENST00000006658	ENSG00000006282	SPATA20	spermatogenesis associated 20 	ENST00000006658	ENSGGOT00000003400	ENSNLET00000035659	ENSPTRT00000100460	802	802	802	778	754	733	21	2	1	2	14	1	97.2148541114058	2.78514588859416	0.26525198938992	0.13262599469496	0.26525198938992	1.85676392572944	0.13262599469496	0
ENST00000006777	ENSG00000005486	RHBDD2	rhomboid domain containing 2 	ENST00000006777	ENSGGOT00000016990	ENSNLET00000054238	ENSPTRT00000035734	364	364	409	79	59	57	2	0	0	0	2	0	96.6101694915254	3.38983050847457	0	0	0	3.38983050847458	0	0
ENST00000007390	ENSG00000007520	TSR3	TSR3 ribosome maturation factor 	ENST00000007390	ENSGGOT00000025322	ENSNLET00000051255	ENSPTRT00000014004	312	312	311	200	197	181	16	0	2	0	13	1	91.8781725888325	8.12182741116752	0	1.01522842639594	0	6.5989847715736	0.507614213197969	0
ENST00000007414	ENSG00000006025	OSBPL7	oxysterol binding protein like 7 	ENST00000007414	ENSGGOT00000015402	ENSNLET00000002261	ENSPTRT00000045163	842	842	842	799	775	762	13	2	2	1	8	0	98.3225806451613	1.6774193548387	0.258064516129032	0.258064516129032	0.129032258064516	1.03225806451613	0	0
ENST00000007516	ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 	ENST00000007516	ENSGGOT00000006341	ENSNLET00000040733	ENSPTRT00000014540	156	156	156	156	156	150	6	0	0	0	6	0	96.1538461538462	3.84615384615384	0	0	0	3.84615384615385	0	0
ENST00000007722	ENSG00000005884	ITGA3	integrin subunit alpha 3 	ENST00000007722	ENSGGOT00000013617	ENSNLET00000011375	ENSPTRT00000017219	1066	1066	1066	1050	1006	981	25	4	4	2	15	0	97.5149105367793	2.48508946322067	0.397614314115308	0.397614314115308	0.198807157057654	1.49105367793241	0	0
ENST00000007969	ENSG00000010626	LRRC23	leucine rich repeat containing 23 	ENST00000007969	ENSGGOT00000048661	ENSNLET00000047301	ENSPTRT00000095682	343	343	357	343	301	289	12	1	1	1	7	2	96.0132890365449	3.98671096345515	0.332225913621262	0.332225913621262	0.332225913621262	2.32558139534884	0.664451827242525	0
ENST00000008527	ENSG00000008405	CRY1	cryptochrome circadian regulator 1 	ENST00000008527	ENSGGOT00000022077	ENSNLET00000008579	ENSPTRT00000009904	586	586	623	586	553	553	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000008938	ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1 	ENST00000008938	ENSGGOT00000011168	ENSNLET00000003088	ENSPTRT00000020769	196	196	196	196	196	177	19	7	1	5	6	0	90.3061224489796	9.69387755102041	3.57142857142857	0.510204081632653	2.55102040816327	3.06122448979592	0	0
ENST00000009041	ENSG00000010270	STARD3NL	STARD3 N-terminal like 	ENST00000009041	ENSGGOT00000013516	ENSNLET00000045411	ENSPTRT00000035282	234	234	234	234	234	232	2	0	0	0	2	0	99.1452991452992	0.854700854700852	0	0	0	0.854700854700855	0	0
ENST00000010299	ENSG00000009780	FAM76A	family with sequence similarity 76 member A 	ENST00000010299	ENSGGOT00000055510	ENSNLET00000050253	ENSPTRT00000097866	341	341	307	305	261	260	1	0	0	0	1	0	99.6168582375479	0.383141762452112	0	0	0	0.383141762452107	0	0
ENST00000010404	ENSG00000008394	MGST1	microsomal glutathione S-transferase 1 	ENST00000010404	ENSGGOT00000006734	ENSNLET00000005450	ENSPTRT00000076740	155	155	155	155	155	150	5	0	1	0	4	0	96.7741935483871	3.2258064516129	0	0.645161290322581	0	2.58064516129032	0	0
ENST00000011473	ENSG00000008282	SYPL1	synaptophysin like 1 	ENST00000011473	ENSGGOT00000006526	ENSNLET00000054300	ENSPTRT00000092104	259	262	221	259	195	191	4	0	0	0	4	0	97.9487179487179	2.05128205128206	0	0	0	2.05128205128205	0	0
ENST00000011653	ENSG00000010610	CD4	CD4 molecule 	ENST00000011653	ENSGGOT00000003246	ENSNLET00000005979	ENSPTRT00000062277	458	458	458	458	458	428	30	0	4	7	15	3	93.4497816593887	6.55021834061135	0	0.873362445414847	1.52838427947598	3.27510917030568	0.655021834061135	0
ENST00000011684	ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 	ENST00000011684	ENSGGOT00000011940	ENSNLET00000004588	ENSPTRT00000008450	790	790	790	790	790	759	31	1	1	6	21	1	96.0759493670886	3.92405063291139	0.126582278481013	0.126582278481013	0.759493670886076	2.65822784810127	0.126582278481013	0
ENST00000012049	ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase like 	ENST00000012049	ENSGGOT00000030582	ENSNLET00000002882	ENSPTRT00000103423	382	382	382	310	301	290	11	1	1	0	9	0	96.3455149501661	3.65448504983388	0.332225913621262	0.332225913621262	0	2.99003322259136	0	0
ENST00000012134	ENSG00000010818	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2 	ENST00000012134	ENSGGOT00000028377	ENSNLET00000019226	ENSPTRT00000034465	2446	2446	2446	2446	2446	2417	29	4	4	3	17	1	98.8143908421913	1.18560915780867	0.163532297628782	0.163532297628782	0.122649223221586	0.695012264922322	0.040883074407196	0
ENST00000013125	ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 	ENST00000013125	ENSGGOT00000026212	ENSNLET00000015551	ENSPTRT00000011589	846	846	829	846	827	817	10	0	2	5	3	0	98.7908101571947	1.20918984280532	0	0.241837968561064	0.60459492140266	0.362756952841596	0	0
ENST00000013222	ENSG00000241644	INMT	indolethylamine N-methyltransferase 	ENST00000013222	ENSGGOT00000004947	ENSNLET00000019355	ENSPTRT00000035202	263	263	263	263	263	249	14	2	0	1	10	0	94.6768060836502	5.32319391634981	0.760456273764259	0	0.380228136882129	3.80228136882129	0	0
ENST00000013807	ENSG00000012061	ERCC1	ERCC excision repair 1%2C endonuclease non-catalytic subunit 	ENST00000013807	ENSGGOT00000062651	ENSNLET00000002621	ENSPTRT00000105397	323	297	297	190	178	174	4	2	0	1	1	0	97.7528089887641	2.24719101123596	1.12359550561798	0	0.561797752808989	0.561797752808989	0	0
ENST00000016171	ENSG00000014919	COX15	cytochrome c oxidase assembly homolog COX15 	ENST00000016171	ENSGGOT00000010617	ENSNLET00000060061	ENSPTRT00000046834	410	410	410	388	367	360	7	0	0	2	5	0	98.0926430517711	1.90735694822888	0	0	0.544959128065395	1.36239782016349	0	0
ENST00000017003	ENSG00000015532	XYLT2	xylosyltransferase 2 	ENST00000017003	ENSGGOT00000027838	ENSNLET00000011547	ENSPTRT00000061785	865	865	865	865	865	851	14	1	2	4	6	1	98.3815028901734	1.61849710982659	0.115606936416185	0.23121387283237	0.46242774566474	0.69364161849711	0.115606936416185	0
ENST00000019103	ENSG00000080293	SCTR	secretin receptor 	ENST00000019103	ENSGGOT00000034051	ENSNLET00000013172	ENSPTRT00000023025	440	440	440	440	440	433	7	0	4	1	2	0	98.4090909090909	1.59090909090909	0	0.909090909090909	0.227272727272727	0.454545454545455	0	0
ENST00000019317	ENSG00000017797	RALBP1	ralA binding protein 1 	ENST00000019317	ENSGGOT00000031232	ENSNLET00000008871	ENSPTRT00000056728	655	655	655	655	655	652	3	1	1	0	1	0	99.5419847328244	0.458015267175568	0.152671755725191	0.152671755725191	0	0.152671755725191	0	0
ENST00000020926	ENSG00000019505	SYT13	synaptotagmin 13 	ENST00000020926	ENSGGOT00000028588	ENSNLET00000022941	ENSPTRT00000006651	426	426	426	426	426	421	5	1	1	0	2	0	98.8262910798122	1.17370892018779	0.234741784037559	0.234741784037559	0	0.469483568075117	0	0
ENST00000020945	ENSG00000019549	SNAI2	snail family transcriptional repressor 2 	ENST00000020945	ENSGGOT00000000966	ENSNLET00000017081	ENSPTRT00000037496	268	268	268	268	268	266	2	0	0	0	2	0	99.2537313432836	0.746268656716424	0	0	0	0.746268656716418	0	0
ENST00000025008	ENSG00000023287	RB1CC1	RB1 inducible coiled-coil 1 	ENST00000025008	ENSGGOT00000023457	ENSNLET00000001059	ENSPTRT00000037516	1594	1594	1594	1594	1594	1577	17	4	3	4	6	0	98.9335006273526	1.06649937264743	0.250941028858218	0.188205771643664	0.250941028858218	0.376411543287327	0	0
ENST00000025301	ENSG00000023516	AKAP11	A-kinase anchoring protein 11 	ENST00000025301	ENSGGOT00000028217	ENSNLET00000002045	ENSPTRT00000010713	1901	1901	1901	1902	1836	1771	65	11	9	9	33	2	96.4596949891068	3.54030501089325	0.599128540305011	0.490196078431373	0.490196078431373	1.79738562091503	0.108932461873638	0
ENST00000025399	ENSG00000023734	STRAP	serine/threonine kinase receptor associated protein 	ENST00000025399	ENSGGOT00000009982	ENSNLET00000053837	ENSPTRT00000109409	363	363	335	364	317	315	2	0	0	0	1	1	99.3690851735016	0.630914826498426	0	0	0	0.315457413249211	0.315457413249211	0
ENST00000026218	ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q 	ENST00000026218	ENSGGOT00000007916	ENSNLET00000010359	ENSPTRT00000084305	760	760	760	738	737	687	50	7	5	7	24	5	93.2157394843962	6.78426051560381	0.949796472184532	0.67842605156038	0.949796472184532	3.25644504748982	0.67842605156038	0
ENST00000027335	ENSG00000079112	CDH17	cadherin 17 	ENST00000027335	ENSGGOT00000012388	ENSNLET00000035964	ENSPTRT00000079982	832	867	832	832	832	805	27	3	4	2	12	0	96.7548076923077	3.24519230769231	0.360576923076923	0.480769230769231	0.240384615384615	1.44230769230769	0	0
ENST00000033079	ENSG00000031003	FAM13B	family with sequence similarity 13 member B 	ENST00000033079	ENSGGOT00000055803	ENSNLET00000057127	ENSPTRT00000080404	915	938	938	938	915	901	14	1	2	3	6	2	98.4699453551913	1.53005464480874	0.109289617486339	0.218579234972678	0.327868852459016	0.655737704918033	0.218579234972678	0
ENST00000035307	ENSG00000033100	CHPF2	chondroitin polymerizing factor 2 	ENST00000035307	ENSGGOT00000047856	ENSNLET00000036084	ENSPTRT00000083157	772	772	772	753	741	738	3	0	2	0	1	0	99.5951417004049	0.404858299595148	0	0.269905533063428	0	0.134952766531714	0	0
ENST00000037243	ENSG00000034713	GABARAPL2	GABA type A receptor associated protein like 2 	ENST00000037243	ENSGGOT00000012346	ENSNLET00000037730	ENSPTRT00000015417	117	117	117	117	117	117	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ENST00000037502	ENSG00000034971	MYOC	myocilin 	ENST00000037502	ENSGGOT00000026796	ENSNLET00000019374	ENSPTRT00000003045	504	504	504	526	503	489	14	1	5	2	5	1	97.2166998011928	2.78330019880715	0.198807157057654	0.99403578528827	0.397614314115308	0.99403578528827	0.198807157057654	0
ENST00000039989	ENSG00000052841	TTC17	tetratricopeptide repeat domain 17 	ENST00000039989	ENSGGOT00000029270	ENSNLET00000022915	ENSPTRT00000095198	1141	1198	1198	1198	1141	1129	12	1	3	4	3	1	98.9482909728308	1.05170902716915	0.087642418930763	0.262927256792287	0.35056967572305	0.262927256792287	0.087642418930763	0
ENST00000040584	ENSG00000037965	HOXC8	homeobox C8 	ENST00000040584	ENSGGOT00000006311	ENSNLET00000022539	ENSPTRT00000009257	242	242	242	242	242	240	2	1	0	1	0	0	99.1735537190083	0.826446280991732	0.413223140495868	0	0.413223140495868	0	0	0
ENST00000040663	ENSG00000037757	MRI1	methylthioribose-1-phosphate isomerase 1 	ENST00000040663	ENSGGOT00000056405	ENSNLET00000016740	ENSPTRT00000019480	369	369	369	369	368	354	14	1	2	1	9	0	96.195652173913	3.80434782608695	0.271739130434783	0.543478260869565	0.271739130434783	2.44565217391304	0	0
ENST00000040738	ENSG00000038219	BOD1L1	biorientation of chromosomes in cell division 1 like 1 	ENST00000040738	ENSGGOT00000025071	ENSNLET00000020727	ENSPTRT00000029725	3051	3049	3052	3048	3048	2916	132	9	14	22	80	5	95.6692913385827	4.33070866141732	0.295275590551181	0.459317585301837	0.721784776902887	2.6246719160105	0.164041994750656	0
ENST00000040877	ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1 	ENST00000040877	ENSGGOT00000032167	ENSNLET00000003277	ENSPTRT00000003885	1621	1623	1344	1621	1315	1282	33	6	7	5	13	0	97.490494296578	2.50950570342205	0.456273764258555	0.532319391634981	0.380228136882129	0.988593155893536	0	0
ENST00000046087	ENSG00000042813	ZPBP	zona pellucida binding protein 	ENST00000046087	ENSGGOT00000016836	ENSNLET00000005884	ENSPTRT00000035451	351	351	351	351	351	338	13	1	2	1	7	1	96.2962962962963	3.70370370370371	0.284900284900285	0.56980056980057	0.284900284900285	1.99430199430199	0.284900284900285	0
ENST00000053243	ENSG00000048462	TNFRSF17	TNF receptor superfamily member 17 	ENST00000053243	ENSGGOT00000030236	ENSNLET00000036201	ENSPTRT00000014324	184	184	184	183	182	175	7	1	0	1	5	0	96.1538461538462	3.84615384615384	0.549450549450549	0	0.549450549450549	2.74725274725275	0	0
ENST00000053468	ENSG00000048544	MRPS10	mitochondrial ribosomal protein S10 	ENST00000053468	ENSGGOT00000012850	ENSNLET00000034106	ENSPTRT00000033592	201	201	201	201	189	177	12	0	3	1	8	0	93.6507936507936	6.34920634920636	0	1.58730158730159	0.529100529100529	4.23280423280423	0	0
ENST00000053867	ENSG00000030582	GRN	granulin precursor 	ENST00000053867	ENSGGOT00000015886	ENSNLET00000006784	ENSPTRT00000017043	593	593	593	593	593	570	23	2	1	4	11	3	96.1214165261383	3.87858347386172	0.337268128161889	0.168634064080944	0.674536256323777	1.85497470489039	0.505902192242833	0
ENST00000054650	ENSG00000041988	THAP3	THAP domain containing 3 	ENST00000054650	ENSGGOT00000006869	ENSNLET00000041405	ENSPTRT00000000219	239	239	239	239	239	227	12	1	2	3	6	0	94.979079497908	5.02092050209205	0.418410041841004	0.836820083682008	1.25523012552301	2.51046025104602	0	0
ENST00000054666	ENSG00000049245	VAMP3	vesicle associated membrane protein 3 	ENST00000054666	ENSGGOT00000031280	ENSNLET00000041774	ENSPTRT00000000229	100	100	100	100	100	99	1	0	0	0	1	0	99	1	0	0	0	1	0	0
